"variable","estimate","se","sample","ci_low","ci_high"
"Broad Money Growth",0.435979247299605,0.0619426006844112,"Full sample (N=7)",0.314571749958159,0.557386744641051
"GDP Growth",-0.147683224760773,0.240437161603182,"Full sample (N=7)",-0.618940061503009,0.323573611981462
"Depreciation Rate",0.376823298230108,0.0864094785541803,"Full sample (N=7)",0.207460720263915,0.546185876196301
"Broad Money Growth",0.0545425037006267,0.0967001408906337,"Without Turkey (N=6)",-0.134989772445015,0.244074779846269
"GDP Growth",0.107090080554199,0.0976660901021851,"Without Turkey (N=6)",-0.0843354560460843,0.298515617154481
"Depreciation Rate",0.275273188310491,0.0589650269199578,"Without Turkey (N=6)",0.159701735547374,0.390844641073608
